source,interaction,target
PKNOX1,1,PAX6
PAX6,1,SFRP2
PAX6,1,SFRP1
PAX6,1,FN1
PAX6,1,MAB21L1
CTTN,1,WASL
BIRC2,-1,CASP3
CASP2,1,BID
CASP3,1,CASP2
BBC3,-1,MCL1
BBC3,-1,MCL1
MCL1,-1,BAK1
BIRC6,-1,CASP9
PMAIP1,-1,GMCL1
BCL2L11,-1,MCL1
ACTR2_ACTR3_ARPC1A_ARPC1B_ARPC2_ARPC3_ARPC4_ARPC5_ARPC5L,1,CDH1
CDH1,1,ARPC1B
MTOR,-1,ULK1
RHEB,1,MTOR
TSC2,-1,RHEB
TSC2,1,TSC1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1,TSC2
ATG7,1,MAP1LC3B
RHOA,1,DIAPH1
WASL,1,ARPC1B
CDC42,1,WASL
GRB2,1,WASL
MET,1,CTTN
AKT1,-1,TSC2
PMAIP1,-1,MCL1
RET,1,SHC1
NTRK1,1,SHC1
RHOA,1,ROCK2
RET,1,GRB2
ATG7,1,ATG10
ATG7,1,ATG12
ATG12,1,ATG5
ATG12_ATG5,1,ATG16L1
ATG12_ATG5,1,MAP1LC3B
ATG3,1,MAP1LC3B
CAMKK2,1,PRKAG1
NKX3-1,-1,HDAC1
AR,1,NKX3-1
FOXO1,1,CDKN1A
FOXO1,1,NOXA1
RAF1,-1,STK3
ATG101_ATG13_RB1CC1_ULK1_ULK2,1,PIK3C3
E2F6,-1,RBBP8
CASP3,-1,NUMA1
BCL2L2,-1,BIK
DYNLL1,-1,BCL2L11
CFLAR,-1,CASP10
CASP7,-1,VIM
CASP7,-1,TNFRSF1A
CASP7,-1,ITGB4
CASP3,-1,VIM
CASP8,1,CASP3
CASP10,1,CASP3
CASP3,-1,PXN
PPP1CA,1,BAD
CASP3,-1,PTK2
BCL2L11,-1,BCL2A1
BCL2L1,-1,APAF1
BCL2L11,1,VDAC1
BCL2L1,-1,VDAC1
BAK1,1,VDAC1
BAX,1,VDAC1
DAPK1,1,TP53
DAPK3,-1,RPL13A
CDKN2A,-1,BCL2L1
CDKN2A,-1,BCL2L1
SMAD2,1,DAPK1
UNC5B,1,PPP2R3B
RHEB,1,MLST8
ATG101,1,ATG13
PMAIP1,1,BAX
PRKCI,-1,BAD
MAPK8,-1,BCL2
DAPK1,1,PRKD1
MIB1,-1,DAPK1
DAPK1,1,BECN1
DAPK1,-1,STX1A
DAPK1,-1,RPS6
MIR22HG,-1,MAX
BBC3,-1,BCL2A1
BBC3,-1,BCL2A1
BBC3,1,BAX
BBC3,1,BAX
HRK,-1,BCL2L1
HRK,-1,BCL2
RHEB,-1,FKBP8
FKBP8,-1,MTOR
PMAIP1,-1,BCL2A1
PRKCZ,-1,FADD
PIDD1,1,CASP2
PIDD1,1,IKBKG
MIR17HG,-1,JAK1
RPS6KA3,1,RPTOR
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,RPTOR
FAS,1,CASP8AP2
RPS6KA1,1,RPTOR
CASP8AP2,1,CASP8
MAP2K1,1,MAPK3
MAPK3,1,RPS6KA3
MAPK1,1,RPS6KA1
DAPK3,1,MYL9
MAPK1,1,RPS6KA3
MAPK1,1,DAPK1
SRC,-1,DAPK1
PTPRF,1,DAPK1
PPP2CA_PPP2R5A_PTPA,1,DAPK1
DAPK1,1,DAPK3
DAPK1,-1,TSC2
MAPK3,1,DAPK1
HSP90AA1,1,DAPK1
NEO1,1,DAPK1
RRAS,1,RAF1
UNC5B,1,DAPK1
RPS6KA1,-1,DAPK1
RPS6KA3,-1,DAPK1
RAF1,1,MAP2K1
GSN,1,ACTG1
DAPK3,1,NR3C1
RPL13A,-1,DAPK3
DAPK3,1,PPP1R14A
DAPK3,-1,PPP1R12A
CTNNB1,-1,DAPK2
DAPK3,1,AR
ROCK1,1,DAPK3
PPP1R14A,-1,PPP1CA
RPL13A,-1,DAPK1
DAPK1,-1,TLN1
TLN1,1,ITGB1
DAPK1,-1,ITGA3
DAPK1,1,CDKN2A
DAPK1,1,CDKN2A
SMAD4,1,DAPK1
SMAD3,1,DAPK1
CDC42,1,MAP3K4
RAC1,1,MAP3K1
STAT3,1,WNT5A
RAC1,1,MAP3K4
ATM,1,MDC1
SP1,1,WNT5A
TP53,1,AIFM2
TP53,-1,ANLN
TP53,-1,ABCB1
TP53,1,ACTA2
TP53,1,ARID3A
TP53,1,ADGRB1
TP53,-1,APC
NFYA_NFYB_NFYC,1,DDIT3
NFYA_NFYB_NFYC,1,DDIT3
NFYA_NFYB_NFYC,1,CALR
NFYA_NFYB_NFYC,1,HERPUD1
ELAVL1,1,SIRT1
CHEK2,1,ELAVL1
E2F3,1,CCNB1
CHEK1,1,WEE1
E2F1,1,EED
WNT5A,1,FZD2
NFYA_NFYB_NFYC,1,GADD45A
NFYA_NFYB_NFYC,1,TIMP2
NFYA_NFYB_NFYC,1,CDC25B
NFYA_NFYB_NFYC,1,CCNA2
NFYA_NFYB_NFYC,1,CDC25A
NFYA_NFYB_NFYC,1,PCNA
NFYA_NFYB_NFYC,1,PDGFRB
NFYA_NFYB_NFYC,1,PLK1
MIR17HG,-1,CDKN1A
BMAL1_CLOCK,1,XPA
PUF60,-1,MYC
PUF60,-1,FUBP1
CCNH_CDK7_MNAT1,1,THRA
AKT1,1,CDKN1A
CDK7,1,ETS1
FUBP1,1,MYC
CCNH_CDK7_MNAT1,1,CDK7
FBXL17,-1,CRY2
MECP2,1,PER1
MECP2,1,PER2
E2F3,1,CDKN2A
E2F3,1,CDKN2A
PAIP2,-1,PER1
BTG2,-1,PER1
BTG3,-1,PER2
PAIP2,-1,PER2
E2F4,-1,CLSPN
E2F2,1,CDKN2A
E2F2,1,CDKN2A
CDK1,1,BRCA1
E2F1,1,CDT1
E2F1,1,CDKN2A
E2F1,1,CDKN2A
CUL1_FBXL3_SKP1,-1,CRY1
CUL1_FBXL3_SKP1,-1,CRY2
E2F2,1,PCNA
E2F6,-1,BRCA1
CCNB1_CDK1,1,BRCA1
E2F6,-1,CBX5
UBE2T,1,FANCI
TP53,-1,DNMT1
SUMO1,1,PML
UBE2T,1,FANCD2
CSNK2A1_CSNK2B,-1,PML
TP53,1,EGFR
MAPKAPK2,-1,CDC25A
TP53,1,EPHA2
CHEK1,-1,CDC25B
TP53,1,EDN2
MAPKAPK2,-1,CDC25C
TP53,1,EEF1A1
MAPKAPK2,-1,CDC25B
TP53,1,HTT
TP53,1,GPX1
TP53,1,GML
TP53,1,FANCC
TP53,1,HGF
ATM,1,SLX4
STAT1,1,FAS
STAT1,1,CDKN1A
NFE2L2,1,PRDX1
ATM,1,BID
KDM2B,1,PRDX4
KDM2B,1,NQO1
ATR,1,RBBP8
ATR,1,FANCI
E2F1,1,APAF1
CDK1,1,E2F1
E2F2,1,EED
MTOR,1,EIF4EBP3
MTOR,-1,EIF4EBP2
TSC1_TSC2,-1,RHEB
MAPKAPK2,-1,TSC1
TP53,1,BDKRB2
TP53,1,BID
MAP3K8,1,MAP3K14
IKBKB,-1,TSC1
TP53,1,BCL2L14
MAP3K8,1,MAP2K4
EIF4EBP2,-1,EIF4E
EIF4EBP1,-1,EIF4E
MTOR,-1,EIF4EBP1
EIF4EBP3,1,EIF4E
TP53,1,CCNK
BCL10,1,IKBKG
TP53,1,CASP6
TP53,1,CASP10
TP53,1,CASP1
MAP3K14,1,IKBKB
TP53,1,RGCC
TP53,1,BNIP3L
TP53,-1,BIRC5
TNIP1,1,IKBKG
MYC_ZBTB17,-1,CDKN1A
E2F2,1,EZH2
E2F4,1,CDT1
E2F1,1,DBF4
ATM,1,NFAT5
IL22,1,IL10RB
TP53,1,CD82
EPO,1,EPOR
TP53,-1,CDC25C
MAPKAPK2,-1,TSC2
TP53,1,CHMP4C
TP53,1,COL18A1
IL6R_IL6ST,1,JAK1
IL6R_IL6ST,1,JAK2
JAK2,1,STAT3
EPO_EPOR,1,JAK2
TP53,1,DKK1
TP53,1,DDR1
KSR2,-1,MAP3K8
CHEK2,1,TP53
NFKB1,-1,MAP3K8
TP53,1,CTSD
ATM,1,STK11
TP53,-1,CRYZ
TP53,1,DDIT4
HIPK2,1,TP53
TP53,1,CX3CL1
